t [s],Q [W],Tin [degC],Tout [degC]
132512,11880.5895231616,30.2290516587225,24.5716280762646
132812,11934.8590413494,30.2720187621088,24.5887525519424
133112,11955.7975235788,30.2999338034201,24.6066968874302
133412,11869.7626413977,30.2757233329675,24.6234554084924
133712,11823.309315267,30.267240724432,24.6370934314477
134012,11850.2490900286,30.2914295124437,24.6484537552872
134312,11866.4856603371,30.3101978832671,24.6594904259637
134612,11878.3054000229,30.3281625436591,24.6718266388863
134912,11921.9815395563,30.3639815824903,24.6868475160349
135212,11939.7816240623,30.3901184547238,24.7045081575513
135512,11952.9084999211,30.4159354228304,24.7240742323918
135812,11985.0288761694,30.4523493916264,24.7451927839267
136112,11923.8059402618,30.4432837204849,24.7652808917888
136412,11908.059267631,30.4535285493139,24.7830241361563
136712,11903.8623773431,30.4668554521979,24.798349558225
137012,11939.461210059,30.4986529395044,24.8131952204287
137312,11933.9650799105,30.5112863670689,24.8284458528258
137612,11962.583488917,30.5415177139568,24.8450493859011
137912,11867.3022319547,30.5111303780284,24.8600340770976
138212,11842.9095393258,30.5114531817234,24.8719724487111
138512,11940.9927759625,30.5701181969484,24.8839311607758
138812,11984.1644354109,30.6055056037143,24.898760634471
139112,12024.340881097,30.6438039237233,24.9179273136771
139412,11963.6269321327,30.6353007480352,24.9383355422577
139712,11931.0764374019,30.6383444616256,24.9568794914342
140012,11936.858916204,30.656971757028,24.9727532255023
140312,11980.6830684557,30.6930494145465,24.9879622390914
140612,11966.8995762391,30.7019052831569,25.003381675424
140912,11973.5613235659,30.7210940811725,25.0193982128078
141212,11978.3319117821,30.7397006316432,25.0357330546041
141512,11949.647352841,30.7415412079463,25.0512329446887
141812,11981.9951449094,30.7722313383725,25.0665193646061
142112,12043.0630813966,30.8183189972189,25.0835270536967
142412,12023.8296908629,30.8275786925865,25.1019455064613
142712,12019.7718951956,30.8445014434855,25.1208005410114
143012,12014.6883084459,30.8602209227411,25.1389407758621
143312,12019.4866996378,30.879698037761,25.1561329426954
143612,11987.874515207,30.8802018495236,25.1716901756155
143912,11957.3671081255,30.8790042353743,25.1850198981717
144212,11988.1563202596,30.9060562810332,25.1974104142429
144512,12013.9983227088,30.9314425730677,25.2104909908254
144812,11989.7409632473,30.9335362226018,25.2241357639126
145112,11957.7350970884,30.9312283712139,25.2370688011718
145412,11997.6140673432,30.9630588972739,25.2499093413962
145712,12008.1113586844,30.9814275718189,25.2632793057787
146012,12013.5083637488,30.9982805326013,25.2775622641495
146312,11970.8660757918,30.9916853493993,25.2912729323556
146612,12005.651146046,31.0217755388608,25.3047988026484
146912,12040.1890451573,31.0526427667741,25.3192194119373
147212,11991.995274479,31.043954919581,25.3334809793529
147512,11990.6688452361,31.05686925857,25.3470269513147
147812,12041.8011995255,31.0952183295269,25.3610272821338
148112,12010.7311821874,31.0944346391287,25.3750388380871
148412,11958.2658634954,31.0818677613778,25.3874554454276
148712,11986.8379746188,31.1067304012003,25.3987123180485
149012,12043.1247466295,31.1457892405397,25.4109679326209
149312,12072.6892973352,31.174701004173,25.4258013387753
149612,12115.7308905641,31.213416872953,25.4440212107796
149912,12124.0589674753,31.2379323135346,25.4645709004511
150212,12127.1086160465,31.2606905791394,25.4858769524506
150512,12127.4888906827,31.2816267747136,25.5066320648647
150812,12093.4820968771,31.2850764640156,25.5262754655027
151112,12077.5696586861,31.2948786259771,25.5436549789837
